*propname*'s?,,,
can't wait to see the princess and the frog tonight with *propname*!!,,,
is hosting *propname*'s room at the comic strip live this friday at 6!  come see me and my superfriends rock the joint and preparty with us!,,,
blaahhhhh what a crappy morning!!!,,,
sleep...,,,
kitty thinks my leg is fun to climb up.  ow.  but it's hard to be mad when the purpose of the climb is to snuggle with me :),,,
"wine, chocolate, & guitar = :)",,,
apparently applied to law school at depaul today...at least that's what they tell me...,,,
babbbbyyy you've got what it takes!,,,
not wearing a bra to the bar is a terrible idea...,,,
does not enjoy the idea of writing an essay at all :(,,,
"merry christmas, all!  any santa sightings?",,,
listening to *propname* (i'm guessing?) being very very wonderful on npr.,,,
it my birthday today !! i'm finally 14!!,,,
i can't remember the stupid quote. that is not cool.,,,
happy birthday *propname*),,,
why do ppl bitch all the time!!!!!!!,,,
wishes she could post her awesome playlist to gaia but can't figure out the coding for it.,,,
is totally xcited for da ball 2moz yay!!!!! :d,,,
wants *propname*'s dresses from the cma.,,,
only 2 more days!!!!!!,,,
"when doing your christmas cards, take one or more and send it to this address: a recovering american soldier c//o *propname* army medical center 6900 georgia avenue nw; washington, d.c. 20307. if we pass this on, think of how many cards these wonderful special people would get. pass this on to all your friends. (just copy and paste to your wall)",,,
is excited to have convinced just about everyone in the office to go to happy hour tonight!,,,
is going to try not to whoop some ass today.,,,
i want new fb layout!,,,
3//3//10 *propname* is coming!,,,
this hair-brainedness needs to cease... now.  :p,,,
"can someone take care of my mafia, nd my farms while i am away?? i wont take long..",,,
what is opportunity to the man who can't use it?,,,
today was gd fun - was kl seein ppl :d,,,
i just got emailed my ezy-ticket to paramore! i don't want to wait three months to see them!,,,
chocolate cake smells good!!!!!,,,
24 hours without the kids -- i miss my babies!,,,
is fricken hot!!!,,,
"woo hoo...im twenty-two!!! (lame i know, but its my bday)",,,
is seeing 9 tonight... maybe?,,,
"we have growth, but at the price of future jobs--all the while paying five times as much for the same car we would've bought later. what else can be done to keep up this facade of recovery? we're already printing more money than ever before. we can't raise taxes without calling it a fee, because dear leader wants to be re-elected. can we still hit the brakes before this public-private hybrid goes into a ditch?",,,
"so as i was driving to school this morning, belting ""my baby loves me just the way that i am"" into my coffee mug... i realized for the 500th time this week just how much i love life...  can't wait to go home tomorrow and spend lots of time this week with my *propname* and my family!",,,
rõõmsaid jõulupühi ja palju südamesoojust neil lumistel talvepäevadel!,,,
barley sugars taste good!!!!!!!,,,
watched inglorius basterds on blu-ray followed by avatar in 3d and is feeling soooo epic. dayum.,,,
"today's sky is as grey as my default mood setting.  sometimes it's rather exhausting being so exquisitely angst-ridden...*rolls eyes, sighs*",,,
is now a certified scuba diver!,,,
rockin it grandma style with the new car....yo! haha,,,
just elected to the hglc executive board tonite...very honored to serve the caucus.,,,
friday afternoon catatonia,,,
counting down the days till nola!,,,
"wasn't disuaded post-media blitz. still thinks taxes are an appropriation of wealth, mandates are backed implicitly with a gun and ""freedom from want"" is a condition better reserved for animals and small children.",,,
can read with his right eye now. no worries. ^^,,,
is excited about going home today for fall break... :),,,
"unless a miracle happens, life s gonna be a rough ride ahead !!! . . .",,,
"can't believe we ordered the 250,000 chocolate bag at red light and won four free chef's tasting meals, complete with wine pairings!",,,
packing up my crap and moving this week. i can't afford cable or internet service so you'll have to text me if you want to talk to me. my phone number is 747-6371 if you didn't already know.,,,
misses being naive...now i'm jaded and waiting for something to excite me,,,
feels like a koala crapped a rainbow in his brain!,,,
is leaving for anaheim super soon!,,,
memento is a trippy movie!,,,
"2010-wise, so far, so good!  feeling pretty bloody fantastic compared to my emotional state of the last few months.  i've even been somewhat productive recently.  however, i am going home now; my desk chair has made my ass numb!  (how does one wake up a sleeping ass, haha?  i'll probably be sorry i asked...)",,,
is at amherst!!!,,,
just saw the season finale of dexter.  holy shit.,,,
thank god i don't have to see *propname* ever again!,,,
"well here goes nothing, getting ready for my first day!",,,
is having fun on mystery google lolz :d,,,
"is not drunk, just posessed by a highly retarded ghost.",,,
no sleep make brain work bad.,,,
in canada with fam,,,
"ugggggghhhhh! my wow account is totally screwed up and now they've ""permanently disabled"" it. so not cool!",,,
is in isla vista without a phone,,,
doesnt think you're beatiful she thinks you're beyond it.,,,
can't wait for class tomorrow. i ? the 1st day of school :),,,
will engage his brain before asking anyone if they are free on the 14th of february in future ://,,,
has another show maybe! with *propname* maybe!!!,,,
somethings not right...,,,
we are not who you think we are. we are golden.,,,
needs to suck it up.,,,
sooooo spent! sleep.,,,
off to japanese class within the hour-- have to stop surfing the web!!,,,
"just finished a christopher lin-induced snes binge.  donkey kong country: complete.  aladdin: lamentably ongoing.  there's a party here in agrabah, if you care to revitalize her arabian efforts.",,,
is getting everything to work out despite the drastic change in plans,,,
made the most amazing burritos for dinner and feels sad that he can't finish them and enjoy their great deliciousness anylonger...,,,
outdid myself this year. mini beef wellingtons with gorgonzola cheese. homemade mac and cheese. liguini and prosciutto frittata (with endless cheese!). cauliflower au gratin.  the only thing without cheese are the green beans and dessert....homemade chocolate chip cookies and a yule log. oh.....and the endless martinis that i plan to have to celebrate making it successfully through another christmas!,,,
"went white water rafting today for the first time in 10 years...since senior trip at wbc! thought of you wilshire friends - *propname*, *propname*, *propname*, *propname*, *propname* *propname*, *propname*, *propname*, *propname*, *propname*...",,,
lit his fried chicken on fire and now has more stuff to clean.  great.,,,
i wonder if my parents will be able to book my flight before i need to get on it.,,,
"""and still, i rise.""",,,
"has early work blargedy-argdey-blah. minimuuum waaaage, i looove youuu.",,,
s hamster died last night. :(,,,
happy halloween people try not to mix the booze and the candy too much!,,,
had a great time at the south florida fair!! especially with deven!,,,
blue,,,
anyone know a good place for me to kennel my dog for thanksgiving// willing to dogsit?,,,
storm clouds and dirty windows,,,
"""you don't seem to annoy me as much as usaul, but are you sure thats a deficite??""",,,
is creeped out...the owner of a new restaurant by my office offered me lunch and then followed me into walgreens while i was running errands.,,,
i got bit by a pig yesterday and now my finger hurts...,,,
pony!,,,
is happy for school to start :d,,,
cheesecake turned out amazing! almost as fun to eat as it was to make :),,,
the mighty boosh is completely mad but completely awesome. it has soothed my disgruntled sadness with its peculiar brand of british inanity...and interpretive dance. *nodnod*,,,
me thinks i'm healthy,,,
has the place to herself this weekend...hhmmm,,,
forgot about the berlin atheltics occuring this week :s still. i have a room and it finished with the marathon today so it won't be a problem any more.,,,
"someones going to get it soo bad later, ugh!!",,,
"rain, rain, go away, don't come back 'til i'm away!",,,
"hi, my name is *propname*!",,,
vodka-time.,,,
"well, if i dont root for the colts i am pretty sure that *propname* will never talk to me again, and  we need him at trivia for sports questions, so go colts!",,,
family in la! let the restaurant adventures begin!,,,
2 months!!,,,
is stressed out.,,,
has no idea where the time has gone. august? seriously? where did july go?,,,
is a national merit semifinalist!!! yay!!!,,,
needs more light in this place.,,,
listless....better snap out of it soon,,,
if your a girl and you haven't seen the miniseries north and south (bbc) you need too!!,,,
3 days in a row of super fun surf!!!... should prob work sometime this week.,,,
red,,,
trying to decide on some colleges to visit.,,,
is back to thinking about nowhere.,,,
back in vegas... time to make victory poker a reality,,,
how about thems steelers?,,,
is getting on her longboard for the first time in 3 months :d !!!!! now it's time to go around isla vista collecting flowers for my new apartment :),,,
yeah buddy! cowboys!,,,
reckons it's looking a lot like washington in california right now.,,,
starts psychology tomorrow.,,,
omg i just started out on p90x...my first day and it kicked my ass! lol these are gonna be a fun 90 days :),,,
likes the feeling of wasabi high in her nasal passages,,,
thanksgiving at our place!! we eat at 5:00pm!! we would love to have you!! : ),,,
is killin time. die time!,,,
has a choice...,,,
is sick =(,,,
"to the dickwads who sat in the table next to me: yeah, insulting me in korean behind my back thinking that i wouldn't understand...  go back into the recess of the fucking cess pool you fucking crawled out of, you dumb fucks!  love, *propname*",,,
needs something to do tomorrow//wednesday afternoon.. don't wana be around for fire code inspections.,,,
the awakenings project meets *propname*'s!!!!!!!!!!!!!!!!!,,,
i think this week of college just might kill me,,,
2nd place!!!,,,
weee. kita a ko ug ma ojthan. :d,,,
the early bird catches the worm,,,
a good friend passed away suddenly this morning. keeping her in my thoughts.,,,
just went on a sorority life spree. painful. but addictive.,,,
pewter city gym rocks! (with grund type pokemon) hahaha. para nalang jud di ko mka huna2 ug di maayu nga butang.,,,
hid in the closet for the majority of the day,,,
"is an atheist please respect my beliefs and stop sending me jesus, god and (insert other deity) crap. thanks.",,,
"oh yes ladies, it's a snuggie.",,,
my fb font is huge - regular size on every other program - what did i do?  help!,,,
"is thinking that the poor girls doing that ""single ladies"" are getting dissed too much. i've seen younger girls doing lewder dances with less clothes. seriously.",,,
"*propname* at ritfit is my new favorite person. it's kinda nice to be cajoled into thinking you're ""way stronger than you think"" at doing bicep curls. and that's what i'm paying him for.",,,
is gonna stay awake all night. then i should be able to just pass out at 9 pm tomorrow (today).,,,
"loves beautiful days in ny with beautiful people, has a new temp gig starting monday, has an interview monday, and is pretty much loving life! xoxo",,,
"s mind was just completely blown by the awesomeness of zahav (israeli restaurant here). easily in the top three restaurants i've eaten at, worldwide. go there. now.",,,
what are other sites to look for a job (other than the obvious monster and careerbuilder)........????,,,
"studying in the morning, teaching after noon, then class till 10pm...i feel like my day is backwards",,,
avatar was amazing! i loved it. spend the money and see it in imax 3-d. i promise it's worth it!,,,
"happy thingy, people...",,,
"is thinking about going to graduate school?  not quite sure, just exploring the idea.  there is quite a bit to consider.",,,
s coworkers make me laugh soooooo much <3 :d,,,
is officially one year behind in her thank you note writing.,,,
is moving to her new apartment in el!!!,,,
"is tired, hungry, and stressed.",,,
15 minutes of fame: 18 de *propname*,,,
"""not that kind of escort!!!"" hehehe.",,,
was pretty awesome 2night guys :) - cheers n yay for cars :p,,,
hot: *propname* is an awesome ta.,,,
"after 3 tracks of illmatic in the car today, my grandma turns to me and says ""turn off this noise and put on michael jackson!""  priceless",,,
3-ish,,,
"i don't mean to swear, but i am really irritated right now!",,,
"is very cold, feeling jumpy, and ahhhhhhhh",,,
"is home from work, lunch then classes until 7:30pm. feeling so run-downwish i could trade bodys or immune systems with someone. might find out what is wrong with me soon! waiting for another ct scan.",,,
*propname* comes back tonight!!! yaaaaayyyy!!!!!!,,,
getting smoked tonight,,,
paints some more mural.,,,
"got home at 3... went to bed at 330, got up at 730, went to work at 830, left work at 530, got home at 600, took e nap at 630, woke up at 830... dinner shower and havana;)!",,,
"took a long time to come up with a costume, but has decided to be the mad scientist from half life,  crowbar included.",,,
can't wait til new moon!,,,
"""please tell me you don't actually own a cloak"", ""i own several!""",,,
*propname*. ,),,
someone at last,,,
is going to be a o&p practitioner...maybe :-),,,
toga toga toga!!,,,
i am hoping this is allergies and not a cold..,,,
"my husband is out in the 18"" playing with the dog and the neighbors' kids.  gotta love him.",,,
ahhhhhhh! raisins!,,,
can't wait!,,,
i want a beverage!!!! hurry up people! lol,,,
"""some of the shows on mtv are not my cup of tea...mainly because i don't like huge pieces of shit in my tea!""",,,
go to urbandictionary.com and look up your first name using their search engine. copy this in your status and what urban dictionary says about your name in the first comment.,,,
wants to find a way to san fran after the new year,,,
wishes *propname* wasn't stuck in chicago...how many flights can be cancelled for one person in 48 hours?,,,
i need a name for my sewing collection - ideas welcome :),,,
il neige..... pas déjà!,,,
will be working for ocb two months from now! i cannot wait!,,,
gonna play mahjong,,,
read about where you can see some vampires.http:////www.examiner.com//x-24676-gainesville-film-industry-examiner~y2009m10d26-all-vampires-all-week,,,
digs giant robots.,,,
10 days left in basic training!,,,
burocrazia in barcellona,,,
the world seems a lot different without one of your closest friends... unbelievable!  he was awesome.,,,
gets to play asian nanny today!,,,
i think i've finally found the right med...this must be what normal people feel like!,,,
"when i have my own classroom, i will have a giant no whining sign on the wall and every time a kid whines i'm just gonna point to it",,,
looking forward to beethoven g major concerto tonight!,,,
easy sunday,,,
"back to the routine, then...",,,
jesus said to love others as you love yourself... so first you have to love yourself!!,,,
i find it interesting that i cannot reply to comments on *propname*'s page without entering my phone number. a neighbor of mine received threatening calls from a conservative group after voicing her opinion at a rally. how they got her number i do not know but i wonder if the same would have happened to me if i entered my number... scary stuff,,,
"""today you courted beauty and a thousand fishes rained at your feet. how do you feel?""",,,
whats the point in re-directing downloads?,,,
looking forward to checking *propname* out of the the post-bar mental institution. congrats to all you bar -takers out there!,,,
does anyone else spend waaay too much time worrying about what aria to start an audition with? or is it an irrelevant point and i'm just stupid? grrrrrr,,,
"fuck yeah! wales have won, and i quite enjoy the irony of celebrating with scotch.",,,
has bought stripey toe socks.,,,
is baking a cherry pie from scratch :-),,,
is dumb.,,,
"""hope in a wasteland of faith; stone figures hewn down; blood flowing through ancient sewers""",,,
happy brithday *propname*!!  have a stadium dog for me!,,,
having a beer and listening to tunes still pretty bored hey,,,
is annoyed with herself,,,
"just had an awesome friday. like, seriously... haha",,,
going to flordia tomorrow!!,,,
"if you all want a beer brewing club at uf, then wish me and my wolf pack luck tomorrow.",,,
"got taught how to use the register (<3!!!~), enjoyed (500) days of summer, and is looking forward to going to the beach monday.",,,
thinks both her and her husband have sleep apnea.,,,
working on my memo... yuck..,,,
off to find food somewhere on campus,,,
is holding out hope that the steelers can sneak into the playoffs even though they clearly don't deserve it.,,,
"the internet, she is verry lag today. :(",,,
sold back my school books for $138.75! =),,,
"saw the magnetic fields last night...the show was like ""icecream and orgasms"".",,,
http:////www.q13fox.com//videobeta//watch//?watch=0766bc7f-d0bf-481b-98b5-139cbefddafa&src=front this is the link to the video highlights of the girls game last night. the girls game is at the end.,,,
earthquake!!!!,,,
autumn cleaning day,,,
"just had a 20-minute conversation w// my dad about midget porn.  sometimes he ain't half bad, lol...",,,
"always says, whatever doesn't kill you makes you luckier.",,,
this is just not my week,,,
is wondering what is up with all these migraines all of a sudden. :(,,,
"dear santa:  i know i'm a grinch, but could you please bring me a computer repairman for christmas?  i'll make you jambalaya...",,,
show me a completely smooth operation and i'll show you a cover up. real boats rock. -*propname*,,,
has analyzed our data to quantize the way we feel... :d,,,
just realized that i will never get a break from studying// school...,,,
yay...i finally get to see *propname*'s lovely face and spend the holiday with the *propname*!!  wish you were with us *propname*!!!,,,
"is wishing the williams sisters would lose to stosur//stubbs, but it doesn't look good.",,,
arab money ready to go,,,
"enjoyed an incredible concert this afternoon by her friend and colleague        k-pad...who is infused with musical talent, versatility, & passion.",,,
good day today. =]],,,
"for all sad words of tongue        and pen, the saddest are these, ""it might have been"" :c",,,
doesn't know where anyone is!,,,
happy new year everyone from the other side of the earth for real now!,,,
finally!!!,,,
set up a mobile router. was way easier than i thought it would be.,,,
stayed at incredible pizza for 5 1//2 hrs yesterday and i'm about to do it all over again today (its so great having kids)...happy birthday *propname*!,,,
i'm still sad. :c,,,
oh well.  only two things to do when your team gets crushed in the playoffs. and i just so happen to have booze handy.,,,
is potentially going to be pulling an all-nighter. feel free to txt to keep me entertained//awake...,,,
vicente doin work.  go doyers.,,,
off to do some hardcore shoppimg for bee's,,,
"homemade peach pie is done, now off to the pool!",,,
is trying to get her hearing back after nibbler decided to imitate her sneezing...very loudly.,,,
canoeing during a severe thunderstorm with hail...not a good idea.,,,
soooooooooooooo excited to see *propname* cause she rocks! in the meantime i am lmao at www.notalwaysright.com,,,
is cramming on homework...,,,
suspects that this nightly coffee + dexter combo isn't the best for her heart.,,,
has a love//hate relationship with snow. notice love is in the numerator! haaaaa i'm so stupid!,,,
state blows another opportunity...shouldn't have expected anything else...,,,
"well, now time for a near trans-continental train ride!",,,
"i got exactly what i asked for and it hurts. i forgot that nightmares are dreams, too.",,,
happy new years!,,,
narcoleptic,,,
want to invest in a pool hmmmm hate public pools yuk,,,
sleeep tomorrow. vimto now.,,,
jenna's wedding,,,
is totally *propname* circa 1962.,,,
"just booked tickets to new york october 29th thru nov 3rd, who wants to join me for halloween in nyc?",,,
its a good night for fishing.,,,
"""it is no measure of health to be well adjusted to a profoundly sick society."" -*propname*",,,
"dearest souper *propname* of buckhead, your chocolate cupcakes were heavenly. hope to see you again for lunch soon!",,,
just because everything's different doesn't mean anything's changed,,,
addicted to les miserables...,,,
"is happy for his gf. congrats babe, i knew you could do it!!",,,
read as i get angry in my latest article. http:////www.examiner.com//examiner//x-24676-gainesville-film-industry-examiner~y2009m10d11-stop-this-man,,,
"fight one more round. when your arms are so tired that you can hardly lift your hands to come on guard, fight one more round. when your nose is bleeding and your eyes are black and you are so tired that you wish your opponent would crack you one on the jaw and put you to sleep, fight one more round  remembering that the man who always fights one more round is never beaten",,,
2010,,,
smitten kittens in mittens while knittin' were spittin' mad until their dad became a part of their fad.,,,
mmm should i get a ps3 to play uncharted 2??? mmmm!!!!,,,
"personally, i don't think there's intelligent life on other planets. why should other planets be any different from this one?",,,
"off to prepare for a night of festivitation...2010 here we come, haharr!",,,
"and now all i have to do is pack!  hooray!  one quarter down, two to go!",,,
"to be something i am not...that is what i'll be when i grow up. god, it'll be stunning.",,,
stimulated the economy yesterday... there goes 100 on makeup... now next on the list... somewhere to go all dressed up,,,
"congrats to *propname* and *propname*.  *propname* has a new little baby niece, *propname*!!  (she'll be mine, too, shortly!!)",,,
"bah! humbug! in other news, i really wanna see ninja assassin! in other news...eh, don't matter anyway, nevermind.",,,
"is in georgia tomorrow, then to florida saturday, and back to georgia sunday.",,,
"*propname* was bad enough, but at least he distorted data and concocted fear-mongering chartsngrafs to support his cockamamie theory. the norwegian nobel committee just lost its credibility--forever.",,,
motley crue!!!!!!!!! stoked 4 saturday :p,,,
is hoping to finally get a break tomorrow!,,,
will be going home today!,,,
wow!!! i just spent 20 minutes reading just this one strip... http:////xkcd.com//657//,,,
i will be getting a new tattoo in about 10 hours.,,,
out into the cool fall air for lots of mocha and a little studying.,,,
"pc load letter, what the fuck does that mean?!?",,,
go hawkeyes!,,,
is glad that apparently there is no law of diminishing comedic returns with space poop,,,
distance tests a horse's strength. time reveals a person's character....,,,
is with *propname*!,,,
is currently being a disgruntled employee...grrr. *brandishes fist ineffectually*,,,
feels soooo much better now =]],,,
is (??? ) ???~.,,,
is a bit stressed,,,
is really missing 130 linden right now.,,,
"""those who criticize our generation forget who raised it.""",,,
"my horoscope today is awesome hahahaha....it reminds me of...well most days :op ""*propname*, if you are single, this is not the best day to get out to meet new people. the people you meet will be strange or dysfunctional in some way.""",,,
i think i need a new mmo...,,,
"another film review already? well, it was a three day weekend. http:////www.examiner.com//examiner//x-24676-gainesville-film-industry-examiner~y2010m1d18-the-imaginarium-of-dr-parnussus",,,
supervisor: *propname* (second preference) research area: regional economic integration (fifth prefernece)  ,,,
"getting some much needed tlc from mom...and the trap is cleaner than ever, which is nice!",,,
tony gubba does my nut in,,,
"really thought he lived in los angeles but, judging from the hail outside, he was obviously mistaken.",,,
"re-arranged all the furniture in my room today to make way for the pole. i love re-arranging furniture, it makes me feel so accomplished!",,,
congratulations *propname* and *propname*!!!!,,,
loves the sun!!!!! <3,,,
black,,,
10 hour workday? boo.,,,
copy this into your status and see what people rate you. 1:crazy. 2:i'd marry you. 3:talkative. 4:sarcastic. 5:lovable. 6:clubhead. 7:moody. 8:dumb. 9: spoiled. 10:mouthy. 11:random. 12:hot. 13:funny. 14:fit. 15:amazing. 16:tough. 17:cute. 18:bf//gf type. 19:player. 20:the best. 21:freak. 22:quiet. 23:sexy. 24: adorable,,,
does anyone in honors//ap spanish 3 know if we had hw 4 this weeknd?,,,
thinks it's wild that after all this time she still misses *propname* like crazy just for the two of them to go to work!  what am i gonna do when i leave for school!?! ahhh..,,,
"if youre going to rcc log on to webadvisor and make sure you didnt get dropped from any of your classes. over 3,000 students got dropped from not paying.",,,
it's not premarital sex if no-one will marry you...,,,
insomnia help...! tips anyone?,,,
happy new year!,,,
can i just observe crows?,,,
"just back from scotland (the brave)! in raleigh this week, hit me up.",,,
randomness reigns supreme!,,,
"in a moment, something poked him in an infuriatingly private place.",,,
is watching district 9,,,
"today is one of those ""i don't like law school..."" days.  my solution= pretending that i'm not in law school for the rest of the day... tv time.",,,
"had a wonderful week in southern sweden and olso, and is heading north to the land of the midnight sun... next stop, trondheim.",,,
is going back to tennessee.,,,
"as soon as i manage to sit down and start being productive, *propname* and *propname* have to start being cuter than ever and that bottle of red on the counter has to start being sexier than ever...",,,
wonders if the electric eel would make a good spirit animal.,,,
sees further reason that college football needs a playoffs.  fuckin eh.,,,
cant wait till magick happens!!! taking ash and my little girl with me!!! anyways off to bed to dream my night away :) nite all fb friends! sweet dreams,,,
yay! up to 205 friends on facebook (and counting) already! never knew i had so many friends..,,,
*propname*... d: *propname* too?,,,
aaaaaaaaaaaaaaahhhhhhhhhh..!,,,
both of the towns i live in have been on fire an lot recently :(,,,
"if cavemen and astronauts got into a fight, who would win?",,,
my old email was hacked. please disregard a weird email if you got it. sorry!,,,
getting letters of recommendation is a stress.,,,
"cuts with his right hand and eats with his left.  so, now that he has almost cut off his left index finger, he is finding it slightly challenging to eat his dinner.",,,
yay clean laundry!!!! :),,,
"what a busy morning! we had a plumber, the cleaner a dog walker and the gardener all around all at same time!",,,
block 2 is over! time to relax...,,,
is on her way up north to face her judgement,,,
hasn't been online in a long time,,,
"trying to get back on the ""eating healthy"" wagon after the past few days of pure gluttony!",,,
is unloved <//3,,,
has an extra tiger army ticket for this weekend 10//24. $26.,,,
"there is no point at which you can say, well, i'm successful now. i might as well take a nap",,,
