"#AUTHID","STATUS","sEXT","sNEU","sAGR","sCON","sOPN","cEXT","cNEU","cAGR","cCON","cOPN","DATE","NETWORKSIZE","BETWEENNESS","NBETWEENNESS","DENSITY","BROKERAGE","NBROKERAGE","TRANSITIVITY"
"bf749347531c855f7bed0bd259b81557","in need of a babysitter the afternoon and evening of UVA v. VT...any ideas?  Know any great sitters?  HELP!  :)",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",10/20/09 12:51 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","thinks she's a rock star...THINKS.  Bleh.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",10/03/09 06:02 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Bring it, Wankees.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",10/26/09 10:17 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","is taking care of *PROPNAME* and his first cold.  Mommy no likey.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",11/05/09 11:06 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","i wonder...",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",11/21/09 06:08 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","is thinking about a CTY reunion...hmmmm.......",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",10/13/09 08:05 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","is loving socialinterview.com",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",10/28/09 03:04 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Recognized more silver lining than cloud on a fairly cloudy day - what a freeing experience!",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",11/11/09 12:24 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Fly Eagles Fly!  On the road to victory!  Fight Eagles Fight! Get a touchdown one, two, three... (four, etc. etc.)  :)",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",12/14/09 11:20 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","My husband is out in the 18"" playing with the dog and the neighbors' kids.  Gotta love him.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",12/19/09 03:51 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Anyone know a plow guy lookin' for work?  haha.  Seriously, if you know anyone that can get to us today or early tomorrow - send me the info, yo.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",12/21/09 02:45 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","The largest front end loader I have ever seen just plowed our driveway.  Ah, the smell of freedom.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",12/21/09 10:59 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Raise your hand if you are snowed in AND consuming way too many calories.  I GOTTA GET OUTTA HERE!",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",12/20/09 08:21 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Watching NCIS marathon.  Last time I did this, I investigated mysterious deaths all night long!  And I had to work the next day!",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",01/10/10 10:21 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Reality check.  We are fortunate.  Prayers for Haiti.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",01/13/10 12:37 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","believes thinking is over-rated.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",01/19/10 10:52 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Anyone interested in training for the Cville 10 miler with me?",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",01/09/10 06:06 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","To CTYers past and present, I urge you to do two things: 1) Dust off your Garden State soundtrack, there was a reason we listened to it non-stop for 42 days. 2) Mark July 16-18 in your calendar - we are all descending on the land of milk and honey.  Carlizzle fo' shizzle.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",01/28/10 07:48 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","My FB font is huge - regular size on every other program - what did I do?  Help!",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",02/04/10 11:30 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Inside Edition has hit an all time low.  Lead story: Will the crisis in Haiti affect the Golden Globe Awards?",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",01/15/10 11:02 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Blame it on the a a a a a applejuice. Blame it on the a a a a a applejuice.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",02/04/10 01:44 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","The lady at Panera didn't even have to ask me my name today. It showed up on my receipt - spelled correctly.  Maybe I need to hit up Greenberry's for a little bit.",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",02/02/10 10:05 PM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Anyone have a gently-used treadmill they'd like to sell?",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",02/09/10 01:32 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"bf749347531c855f7bed0bd259b81557","Heard since it's Vday weekend that people were changing their profile pics. Don't have a pictures of me and all three of my valentines (but *PROPNAME* is in the belly here) Can you imagine if I tried picking up *PROPNAME* now? :)",3.25,3.13,4.25,5.00,3.63,"n","y","y","y","n",02/13/10 10:39 AM,335,54004.8,97.11,0.02,54838,0.49,0.09
"69d136c8d8dc113c3aee4835e941798d","is playing Final Fantasy VII :)",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",06/19/09 01:52 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","is in love with college and can't wait to start in September :)",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",06/25/09 02:56 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","is pissed off that The Godfather isn't streaming properly :@",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",08/06/09 03:44 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","is in a really shit mood, fucking ps3 has a ""Serious Error"" in less than 6 fucking months :@, Also Msn is being a faggot and not letting me speak -.-",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",09/14/09 09:12 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","has a new number, ask me if you need it",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",08/27/09 02:44 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","is watching The Godfather trilogy back to back on Blu-Ray :D",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",08/15/09 11:40 AM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","is looking forward to Bridge on the 25th :)",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",10/15/09 09:53 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","is watching The Godfather",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",08/06/09 02:28 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","Anyone bothering to go Lava tomorrow?",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",10/26/09 08:46 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","Anyone know where I can get UV Paint cheapish not from Amazon?",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",10/20/09 08:59 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","is wondering what the fuck X-Factor is coming to. I mean, *PROPNAME* beating *PROPNAME*? What is this crap",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",11/08/09 09:10 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","is jammin on DJ Hero with *PROPNAME*",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",12/12/09 03:54 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","Did you know that it couldn't be more blatent that the X-Factor was fixed unless *PROPNAME* openly admitted he was gay with *PROPNAME* and *PROPNAME*",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",11/08/09 09:26 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","thinks it would be quite amusing to see *PROPNAME* get Number 1 with the original version of The Climb.",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",12/19/09 12:44 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","Merry Christams to all my friends on facebook :)",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",12/24/09 11:13 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","WoWo Rage is Number 1 xD",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",12/20/09 08:41 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","just bought his Hadouken! tickets :) anyone else goin?",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",01/18/10 04:50 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","had a good time watchin London Wasps lose in the cold today ://",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",01/03/09 09:15 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","is watching District 9",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",12/30/09 08:09 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","thinks tomorrow with *PROPNAME*, *PROPNAME*, *PROPNAME*, *PROPNAME*, *PROPNAME* ? and *PROPNAME* is gunna be jokes at Dancin Dragon ;)",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",01/22/10 09:55 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","hasn't noticed anything new with facebook, what am I missing?",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",02/08/10 10:23 PM,312,44661,92.65,0.05,46150,0.48,0.38
"69d136c8d8dc113c3aee4835e941798d","thinks tonight was a pretty good night, even if *PROPNAME* is incapable of finding bathrooms in Strada",2.70,3.05,1.65,1.55,3.65,"n","y","n","n","n",02/11/10 10:38 PM,312,44661,92.65,0.05,46150,0.48,0.38
"c8a62ce2aa837024b698e3eb72aa3c42","Thanks for all the mazal tovs // congratulations.  :-)",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",06/28/09 11:20 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","*PROPNAME* and I are engaged!  :-)  I'm so happy.",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",06/28/09 04:19 AM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","""This is the day, come what may I'll still be saying this is the day."" Loving camp!  :-)",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",06/27/09 04:28 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","Two more weeks left of camp.  Looking forward to seeing *PROPNAME* on the Roof on Sunday, August 9th!",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",08/03/09 06:32 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","Thank goodness my voice is back.  :-)  Shabbat Shalom everyone!",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",07/10/09 08:22 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","I've officially booked an October flight to New York to visit my future husband.  :-)",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",09/02/09 04:17 AM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","Lesson planning and creating a calendar for the school year... hard to believe I will be teaching already on Sunday.",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",09/07/09 04:38 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","No one should die because they cannot afford health care, and no one should go broke because they get sick. No one should be unable to change jobs because of a ""pre-existing condition."" If you agree, please post this as your status for the rest of the day.",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",09/03/09 10:28 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","Shabbat Shalom!",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",09/11/09 10:33 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","I hate the fact that I currently have no computer.  It is not fun to have to borrow other people's computers.",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",09/15/09 06:54 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","I am thankful for webcams.  It is nice to be able to see my fiance online while he is in New York.  :-)",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",09/08/09 02:22 AM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","I'm liking my new desktop computer and thankful that it is not giving me any grief thus far.  :-) Shanah Tovah (Happy Jewish New Year)!",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",09/21/09 02:29 AM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","To all my Jewish friends: Gemar chatimah tovah.- May your final sealing (in the Book of Life) be good.",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",09/25/09 03:23 AM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","Enjoyed spending the weekend with my love.  Now it is back to the grind.",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",10/13/09 04:35 AM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","is hoping that everyone who fasted for Yom Kippur had an easy fast and a meaningful prayer experience.",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",09/29/09 03:15 AM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","Can't wait until Friday morning when I'll be in my fiance's arms.  :-)",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",10/04/09 04:00 AM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","Contemplating the Forms and Plato's utopian society as I write my paper on Plato.  Please note that I do not actually agree with Plato's ideas, but I find them fascinating.",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",10/21/09 02:56 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","I am getting less and less sleep due to midterms.  :-(",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",11/11/09 05:22 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","I'm so excited about my upcoming trip to New York!  :-)  I leave Thursday night on a red eye.",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",10/07/09 11:37 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","Please put this on your status if you know someone (or are related to someone) who is gay. My wish for 2010 is that people will understand that being gay is not a disease: people who are gay are not looking for a cure but for ACCEPTANCE.",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",01/24/10 10:49 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","I see the light at the end of the tunnel!  Liturgy take home final due Friday and last but not least, Philosophy of Education paper to complete during Winter Break.",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",12/17/09 04:43 PM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","I hate having laryngitis as a songleader.  I want to be able to do my job, but I can't.  :-(",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",07/09/09 03:31 AM,306,44142.5,95.22,0.03,45388,0.49,0.16
"c8a62ce2aa837024b698e3eb72aa3c42","Now that *PROPNAME* has returned to New York, I am finally working on completing my philosophy of Jewish education paper.  It is pleasant to do school work after two weeks of rest, relaxation, and fun.  :-)",3.50,2.30,3.95,4.80,4.55,"n","n","y","y","y",01/08/10 06:30 AM,306,44142.5,95.22,0.03,45388,0.49,0.16
"259f8f9cce95b214dc9924af48bcd6f0","is back from D.C. and is very tired...",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",06/22/09 03:11 AM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is holding *PROPNAME* in the Light...",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",06/25/09 11:04 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is wondering what one does when hail comes down your chimney and is bouncing all over your living room floor...my first thought is to put a big tupperware in the fireplace to catch it all and then I'd have the awesome kind of crunchy ice that you get at S",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",07/11/09 03:01 AM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is trying to tame her to-do list...",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",07/06/09 11:21 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","wishes her bro a happy birthday!",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",07/08/09 10:44 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is holding *PROPNAME* in the Light as he crosses the Threshold...",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",07/13/09 02:01 AM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","enjoyed an incredible concert this afternoon by her friend and colleague        K-Pad...who is infused with musical talent, versatility, & passion.",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",07/20/09 01:55 AM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","+ bold black coffee + double iced cinnamon role + saturday paper + porch across from park = perfect saturday morning.",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",07/04/09 05:52 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is thinking about *PROPNAME* 's words - ""It feels like - electricity. Yeah, electricity.""",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",07/24/09 07:39 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is smiling...",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",07/28/09 12:29 AM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is noting the irony of her car overheating on the way to and from Devil's Head Fire Lookout Tower today...",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",06/23/09 04:50 AM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is trying to figure out how to talk to children about jesus being the bread of life...",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",08/09/09 12:23 AM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is looking forward to Taize tonight...",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",08/09/09 09:47 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is in awe of the cycle of life after visiting a 103 year old woman and then hearing the heartbeats of three little triplets at 28 weeks in their mommy's tummy! back to back hospital visits -- being a pastor is so cool. people pay us to do this?? (not that",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",07/29/09 02:00 AM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","was told today (by a nurse at the hospital) that ""a pastor is the last thing she would take me for."" which begs the question...what is the first thing she would take me for?",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",08/14/09 11:20 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","wishes she could teleport herself to Dallas tonight to celebrate George's 20th anniversary at Wilshire...",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",08/16/09 07:21 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","went fly fishing today for the first time and LOVED it...thanks to *PROPNAME* for being such a fabulous teacher! This is the first fish I caught...a pretty big rainbow trout. We had to resuscitate him a bit when we released him back into the water...I didn't kn",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",08/03/09 01:58 AM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is changing gears from ""nurse"" back to ""pastor"" as *PROPNAME* is back in Laramie and Sunday morning is coming soon...",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",08/29/09 09:53 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is sitting in her clean house anticipating the arrival of the youth group...home made ice cream and frolicking in Wash Park...perfect summer evening.",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",07/22/09 11:51 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is spending her Saturday sleeping & sermonizing & snacking.",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",09/05/09 08:20 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","just ""is.""",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",07/14/09 09:13 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","welcomes *PROPNAME* into the world!  Congratulations *PROPNAME* and *PROPNAME* and *PROPNAME* and *PROPNAME*!",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",09/08/09 02:17 AM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","went white water rafting today for the first time in 10 years...since senior trip at WBC! Thought of you Wilshire friends - *PROPNAME*, *PROPNAME*, *PROPNAME*, *PROPNAME*, *PROPNAME* *PROPNAME*, *PROPNAME*, *PROPNAME*, *PROPNAME*, *PROPNAME*...",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",08/07/09 04:48 AM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is grateful for The Threshold's ministry...I could sit in Taize for hours.",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",09/14/09 03:04 AM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is going to her first Broncos game tonight and her first Rockies game tomorrow night! Thanks to *PROPNAME* & *PROPNAME*...and *PROPNAME*!",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",09/03/09 09:22 PM,1460,1056550,99.34,0,1060480,0.5,0.03
"259f8f9cce95b214dc9924af48bcd6f0","is savoring vanilla gelato garnished with fresh raspberries, blueberries, blackberries, & strawberries...",3.30,2.85,4.20,3.40,4.75,"n","y","y","n","y",08/06/09 02:12 AM,1460,1056550,99.34,0,1060480,0.5,0.03
